,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,For which step of the AST can the funding be used?,,,,,,Who is eligible to receive funding?,,,,Which sectors can receive funding?,,,,,,,,,,,,,,Which type of funding is granted?,,,,,What is the expected budget range of proposals?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PT Algarve2030,Go To PT Algarve2030,"Algarve 2030, Regional program, Portugal 2030","https://algarve.portugal2030.pt
https://portugal2030.pt/wp-content/uploads/sites/3/2023/05/sfc2021-PRG-2021PT16FFPR007-1.2_PRAlgarve.pdf",Portugal,0,"Algarve, regions in transition",0,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,YES,NO,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,Information not available,0,0,YES,NO,0,MEDIUM,National language,,"The programme includes a specific goal targeting to promote adaptation and resilience to climate change, as well as preventing risks from climate hazards, using nature-based solutions.",0,"Political coordination: Comissão Interministerial de Coordenação (CIC Portugal 2030)
Technical coordination: Agência para o Desenvolvimento e Coesão - AD&C (Agency for Development and Cohesion)
Management authority (management, monitoring and execution of the program), includes a steering committee and a technical secretariat",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://algarve.portugal2030.pt/avisos/,Balcão dos Fundos e Linha dos Fundos (https://portugal2030.pt/o-portugal-2030/o-que-e-o-portugal-2030/),0,0,0,0,0,0
PT Azores2030,Go To PT Azores2030,"Açores 2030, Regional program, Portugal 2030","https://acores.portugal2030.pt
https://portugal2030.pt/wp-content/uploads/sites/3/2023/05/sfc2021-PRG-2021PT16FFPR002-2.2_PRAcores.pdf ",Portugal,0,"Azores, less developed regions",0,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,Information not available,0,0,YES,NO,0,MEDIUM,National language,,"The programme includes a specific goal targeting to promote adaptation and resilience to climate change, as well as preventing risks from climate hazards, using nature-based solutions.",0,"Political coordination: Conselho de Governo Regional da Região Autónoma dos Açores (Azores Regional Government Council) and a member of the national government responsible for the global management of European Funds in the Region
Technical coordination: Agência para o Desenvolvimento e Coesão - AD&C (Agency for Development and Cohesion)
Management authority (management, monitoring and execution of the program): Direção Regional do Planeamento e Fundos Estruturais",,1,RSO2.4,"Promote climate change adaptation, risk prevention and resilience, based mainly on nature-based solutions. Actions that may be financed focus on the protection of coastal areas, adaptation to climate change and risk prevention and management","Page 95, PDF document in the link above",0,0,0,0,0,0,0,0,0,0,0,,https://acores.portugal2030.pt/avisos/,Balcão dos Fundos e Linha dos Fundos (https://portugal2030.pt/o-portugal-2030/o-que-e-o-portugal-2030/),0,0,0,0,0,0
PT PEPAC2027,Go To PT PEPAC2027,Plano Estratégico da Política Agrícola Comum (PEPAC) 2027,https://www.gpp.pt/index.php/pepac/pepac-plano-estrategico-da-pac-2023-2027,Portugal,0,"Portugal, including Azores and Madeira",0,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,"Funding is calculated according to each proposal and a set of criteria previously defined in PEPAC. Proposals are sent as a single request, anually.",0,0,NOT SPECIFIED,NOT SPECIFIED,0,MEDIUM,National language,,"Support an active land management based on agriculture and forestry production, which is innovative and sustainable. The adaptation to climate change is one of the targets set in the strategic plan.",0,"Political coordination: PEPAC Portugal
Technical coordination: AGN - Autoridade de Gestão Nacional (National Management Authority), GPP - Gabinete de Planeamento, Políticas e Administração Geral (Office of Planning, Policies and General Administration)
Information available in: https://www.gpp.pt/index.php/pepac/pepac-portugal-saiba-mais#modgovernacao",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.gpp.pt/index.php/pepac/pepac-candidaturas,"IFAP - Instituto de Financiamento da Agricultura e Pescas (Institute for the Financing of Agriculture and Fisheries)
https://www.ifap.pt/portal/web/guest/pedido-unico-enquadramento",0,0,0,0,0,0
PL BGK,Go To PL BGK,Bank Gospodarstwa Krajowego,https://www.bgk.pl/,Poland,0,All regions in Poland,0,NO,NO,NO,NO,YES,NO,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO,NO,YES,YES,YES,YES,YES,up to 100%,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"BGK is a Polish development bank whose mission is to support sustainable social and economic development of the country. The bank initiates and develops cooperation between business, the public sector and financial institutions, supports the development of Polish industry and its competitiveness, and finances the largest infrastructural investments. It supports local government units in numerours ways related to sustainable development.",0,BGK,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.bgk.pl/samorzady/,"bgk@bgk.pl, phone: +48 22 475 88 88",0,0,0,0,0,0
PL Hydrostrateg,Go To PL Hydrostrateg,Hydrostrateg,https://www.gov.pl/web/ncbr-en/hydrostrateg,Poland,0,All regions in Poland,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,50% to 100%,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"The main objective of the Program is to implement new solutions to improve the efficiency of water use and management in Poland. The specific objectives are: 1) Increasing water retention and improving water quality (using the principles of sustainable development and sustainable water and sewage management). 2) Implementation of new research methods, observations and tools supporting monitoring and assessment of the condition of water ecosystems and water-dependent ecosystems. 3) Increasing the degree of use of waterways for inland navigation with existing resources.",0,Ministry of Education and Science through National Reseach and Development Centre (Narodowe Centrum Badań i Rozwoju),,1,water in the environment - biodiversity/bioproductivity,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.gov.pl/web/ncbr/ii-konkurs-rzadowego-programu-strategicznego-hydrostrateg-innowacje-dla-gospodarki-wodnej-i-zeglugi-srodladowej,"Narodowe Centrum Badań i Rozwoju, adres e-mail: info@ncbr.gov.pl, 
phone numbers: +48 22 39 07 170, +48 22 39 07 191",0,0,0,0,0,0
PL BOŚ Bank,Go To PL BOŚ Bank,Bank Ochrony Środowiska Climate Change Action Programme,https://www.bosbank.pl/korporacje-i-JST,Poland,0,All regions,0,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,up to 80% or even 100% (for local government units),0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"BOŚ grants loans for projects related to environmental protection, implemented under the Climate Change Action Programme, i.e. activities promoting the reduction of greenhouse gas emissions into the atmosphere, including financing investments in the field of renewable energy sources and energy efficiency. The financing concerns investment projects in the following sectors: environmental protection, infrastructure, renewable energy sources and energy efficiency, health and social services, education, research, development and innovation, development of the knowledge-based economy and regional development policy.",0,BOŚ Bank,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.bosbank.pl/korporacje-i-JST,"BOŚ Bank, ekocenter@bosbank.pl Phone: 22 290 56 05.",0,0,0,0,0,0
PL Interreg Europe,Go To PL Interreg Europe,Interreg Europe,https://www.interregeurope.eu/#,Poland,"EU-27, Norway and Switzerland",All regionas in above mentioned countries,0,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,NO,70%-80%,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"To improve the implementation of regional development policies, including Investment for jobs and growth goal programmes, by promoting the exchange of experiences, innovative approaches, and capacity building in relation to the identification, dissemination, and transfer of good practices among regional policy actors. A greener Europe: Climate change adaptation, disaster risk prevention, resilience.",0,https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fwww.interregeurope.eu%2Fsites%2Fdefault%2Ffiles%2F2023-06%2F2023-06-09%2520MA%2520IB%2520of%2520IJG%2520programmes%25202021-2027.xlsx&wdOrigin=BROWSELINK,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.interregeurope.eu/apply-for-the-call,https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fwww.interregeurope.eu%2Fsites%2Fdefault%2Ffiles%2F2023-06%2F2023-06-09%2520MA%2520IB%2520of%2520IJG%2520programmes%25202021-2027.xlsx&wdOrigin=BROWSELINK,0,0,0,0,0,0
PL Interreg Baltic Sea,Go To PL Interreg Baltic Sea,Interreg Baltic Sea,https://www.ewt.gov.pl/strony/o-programach/programy-interreg-2021-2027/program-interreg-region-morza-baltyckiego-2021-2027/,Poland,"Sweden, Finland, Estonia, Latvia, Lithuania, Germany",All regions in Poland,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,NO,0.8,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"Water-smart societies, including blue-green infrastructure. Climate-neutral societies.
",0,Ministerstwo Funduszy i Polityki Regionalnej ,,1,"Priority 1: Innovative societies
",0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.ewt.gov.pl/strony/o-programach/programy-interreg-2021-2027/program-interreg-region-morza-baltyckiego-2021-2027/,"Ministerstwo Funduszy i Polityki Regionalnej 
Departament Współpracy Terytorialnej 
Wydział Współpracy Transnarodowej i Międzyregionalnej
ul. Słowackiego 13
40-094 Katowice
tel. +48 22 273 81 87/ 81 75
e-mail BSR@mfipr.gov.pl
e-mail CE@mfipr.gov.pl",0,0,0,0,0,0
PL Interreg Central Europe,Go To PL Interreg Central Europe,Interreg Central Europe,https://www.ewt.gov.pl/strony/o-programach/programy-interreg-2021-2027/program-interreg-europa-srodkowa-2021-2027/,Poland,"Germany, Czechia, Slovakia, Slovenia, Austria, Hungary, Croatia, Italy",All regions in Poland,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,0.8,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"Activities within cooperation include the development and implementation of strategies, action plans, tools, training, activities
pilot and related solutions. Resilience to climate change and adaptation measures, Climate change resilient landscapes and urban planning, Resilience to extreme weather events and related threats (rain, floods, landslides, heat, droughts, water shortages, fires, etc.), Risk awareness , risk prevention and management, Socio-economic and health effects of climate change.",0,Ministerstwo Funduszy i Polityki Regionalnej ,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.ewt.gov.pl/strony/o-programach/programy-interreg-2021-2027/program-interreg-europa-srodkowa-2021-2027/,"Ministerstwo Funduszy i Polityki Regionalnej 
Departament Współpracy Terytorialnej 
Wydział Współpracy Transnarodowej i Międzyregionalnej
ul. Słowackiego 13
40-094 Katowice
tel. +48 22 273 81 75
e-mail CE@mfipr.gov.pl",0,0,0,0,0,0
PL FEPW,Go To PL FEPW,Fundusze Europejskie dla Polski Wschodniej,https://www.fepw.gov.pl/,Poland,0,"Voivodships: lubelskie, podkarpackie, podlaskie, świętokrzyskie, warmińsko-mazurskie, mazowieckie without Warsaw and neighbouring counties",0,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,to be announced,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"Development of Urban Adaptation Plans. Infrastructural projects in the field of green and green-blue infrastructure in cities, as well as rainwater and snowmelt management. For medium-sized cities losing their socio-economic functions and other subregional cities from subregions with the highest accumulation of marginalized communes - in both cases in the range of 20-100 thousands inhabitants; towns with the status of a health resort or a health resort protection area.",0,"Ministry of Funds and Regional Policy, Ministry of Climate and Environment, NFOŚiGW",,1,II Energia i klimat [Energy and Climate],0,https://www.fepw.gov.pl/strony/dowiedz-sie-wiecej-o-programie/nabory-wnioskow-1/harmonogram-naborow-wnioskow/,0,0,0,0,0,0,0,0,0,0,0,,https://www.fepw.gov.pl/strony/dowiedz-sie-wiecej-o-programie/nabory-wnioskow-1/harmonogram-naborow-wnioskow/,"Ministerstwo Funduszy i Polityki Regionalnej
Departament Programów Ponadregionalnych
ul. Wspólna 2/4
00- 926 Warszawa
e-mail: popw@mfipr.gov.pl",0,0,0,0,0,0
PL FEnIKS,Go To PL FEnIKS,"Program Fundusze Europejskie na Infrastrukturę, Klimat, Środowisko 2021-2027 (FEnIKS) ",https://www.feniks.gov.pl/,Poland,0,All regions in Poland,0,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,to be anounced,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"Adaptation of urban areas to climate change. Adaptation to climate change, disaster prevention. Support for sustainable stormwater management systems with green/green-blue infrastructure/nature-based solutions. Development of plans for adaptation to climate change. Supporting small retention. Restoration of transformed watercourses and areas dependent on waters. Construction, reconstruction or renovation of water facilities and accompanying infrastructure to reduce the effects of floods or droughts. Development of environmental forecasting and warning systems. Developing rescue systems, including preventing, counteracting and limiting the effects of threats related to forest fires. Development of environmental monitoring (e.g. monitoring of electromagnetic fields, monitoring of waters, monitoring of the sea shore and monitoring of soil and earth). Education in the field of climate issues, adaptation to climate change and protection of water resources.",0,Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej,,1,Działanie FENX.01.02 Adaptacja terenów zurbanizowanych do zmian klimatu,Adaptation of urban areas to climate change. ,https://www.feniks.gov.pl/strony/dowiedz-sie-wiecej-o-programie/nabory/harmonogram-naborow-wnioskow/,0,Support for sustainable stormwater management systems with green/green-blue infrastructure/nature-based solutions.,0,0,0,0,0,0,0,0,0,,https://www.feniks.gov.pl/strony/dowiedz-sie-wiecej-o-programie/nabory/harmonogram-naborow-wnioskow/,Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej ,0,0,0,0,0,0
PL NFOŚiGW,Go To PL NFOŚiGW,Adaptacja do zmian klimatu [Climate Change Adaptation],https://www.gov.pl/web/nfosigw/adaptacja-do-zmian-klimatu,Poland,0,All regions in Poland,0,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,"50%, 70%, 100%",0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"The objectives of the programme include: increasing the level of protection against the effects of climate change and natural hazards, disseminating modern, effective and efficient solutions to improve the quality of life of residents and improve the resilience of cities to the effects of climate change, as well as increasing adaptation to climate change in rural areas.",0,NFOŚiGW,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej ,"https://www.gov.pl/web/nfosigw/adaptacja-do-zmian-klimatu Bartłomiej Maliszewski, e-mail: bartlomiej.maliszewski@nfosigw.gov.pl, phone: (22) 45-90-294",0,0,0,0,0,0
LV LVAF,Go To LV LVAF,Latvian Environmental Protection Fund,https://lvafa.vraa.gov.lv/ ,Latvia ,0,All regions,0,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,For municipalities - up to 100% (90-100% depending on the type of measure); For NGOs - 100%; For scientific institutuions - 100%.,YES,"Up to 10% of from actual costs. Only 2 types of overheads covered - costs related to administrative personnel, office costs. Specific requirements set.",NO,NO,0,MEDIUM,National language,,"The aim of the programme is to promote sustainable development of the national economy by integrating environmental protection requirements in all sectors of national economy in order to ensure the right of citizens to live in a high quality environment in accordance with the State environmental policy guidelines, and also sufficient measures to preserve biodiversity and protect ecosystems. The aim of the sub-programme is to support environmental protection projects, within the framework of which practical activities (measures) and multi-sectoral environmental protection measures of national significance are implemented.",0,"Ministry of Environmental Protection and Regional Development; 
Administration of Latvian Environmental Protection Fund",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://lvafa.vraa.gov.lv/aktualitates/projektu-jaunumi ,0,0,0,0,0,0,0
LV EKII,Go To LV EKII,The Emission Allowance Auction Instrument (EKII),https://www.ekii.lv/,Latvia,0,All regions,0,NO,NO,NO,NO,YES,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,Varies depending on the call.,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"The EKII aims to contribute to the prevention of global climate change, adaptation to the effects of climate change and the reduction of greenhouse gas (GHG) emissions, for example through:
- increase of the energy efficiency of buildings or technological equipment and vehicles,
- expanding the use of renewable energy resources,
- promotion of adaptation to climate change on a national and regional scale,
- development of environmental technologies that ensure the increase of energy efficiency, the use of renewable energy resources, the reduction of greenhouse gas emissions in technological processes or adaptation to climate change,
- implementation of climate policy measures aimed at reducing greenhouse gas emissions and adapting to climate change, as well as preparation of research, planning and technical documents necessary for integration in various sectors,
- implementation of educational measures, which result in improved public understanding and knowledge of climate change and measures to be taken to mitigate it and ensure adaptation to climate change, and which promote a change in consumer habits, as well as promote the development of a low-carbon economy in Latvia.",0,"Environmental Investment Fund;
Ministry of Climate and Energy",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://ekii.lv/index.php?page=konkursi_lv ,0,0,0,0,0,0,0
LV INTERREG,Go To LV INTERREG,INTERREG,https://www.interreg.lv/lv/,EU-27,EEA,All regions,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,Up to 80%,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"The overarching objective of European Territorial Cooperation/Interreg is to promote a harmonious economic, social and territorial development of the Union as a whole. It provides a framework for implementation of joint activities (e.g. transfer of experience and knowledge, capacity building, etc.) between national, regional and local partners of different countries, development of common services and joint cross-border investments. Each programme under Interreg has its own objective.Latvia is currently taking part in 7 Interreg programmes.",0,Ministry of Environmental Protection and Regional Development (Latvia's national repsonsible institution),,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.interreg.lv/lv/interreg-latvija/aktualie-projektu-konkursi/,0,0,0,0,0,0,0
LV National Recovery Plan,Go To LV National Recovery Plan,Recovery and Resilience Plan,https://commission.europa.eu/business-economy-euro/economic-recovery/recovery-and-resilience-facility/latvias-recovery-and-resilience-plan_lv,Latvia,0,All regions,0,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,1,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,To prevent the economic and social damage caused by the COVID-19 pandemic and stimulate the resilience of the European economy.,0,Ministry of Finance,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.cfla.gov.lv/lv/atveselosanas-fonda-projektu-atlases,0,0,0,0,0,0,0
HR National Recovery and Resili,Go To HR National Recovery and Resili,National Recovery and Resilience Plan,https://commission.europa.eu/business-economy-euro/economic-recovery/recovery-and-resilience-facility/croatias-recovery-and-resilience-plan_en,Croatia,0,All regions,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,100% co-financing rate ,NOT SPECIFIED,0,YES,NO,0,MEDIUM,national language,,"It aims to support Croatia in becoming more sustainable, resilient and better prepared fro the challenges and opportunities of the digital and green transition towards a climate-resilient economy, ensuring social cohesion.",0,National Government of Republic of Croatia,,1,Economy,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://fondovieu.gov.hr/pozivi,https://planoporavka.gov.hr/,https://commission.europa.eu/system/files/2021-10/2021_07_26_hr_rrp_fico.pdf,presentation of the plan,https://planoporavka.gov.hr/,Croatian website of the plan,https://commission.europa.eu/system/files/2021-07/recovery_and_resilience_plan_for_croatia_hr.pdf,Full plan document
HR - ERDF (PCC RSO 2.1),Go To HR - ERDF (PCC RSO 2.1),"European Regional Development Fund (ERDF),  Operational Programme Competitiveness and Cohesion 2021-2027",https://strukturnifondovi.hr/wp-content/uploads/2022/11/PKK-2021-2027.pdf,Croatia,0,All regions in Croatia,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,85% co-financing rate,NOT SPECIFIED,NoT SPECIFIED,NOT SPECIFIED,NO,0,MEDIUM,National language,,"Operational Programme Competitiveness and Cohesion 2021-2027 - RSO 2.1 
Promoting energy efficiency and reducing greenhouse gas emissions.


","Support for the implementation of energy and comprehensive renovation programs in public sector buildings and residential buildings.
Support for the implementation of the Building Energy Renovation Program for buildings with cultural heritage status.
Implementation of the Circular Economy Development Program for space and abandoned buildings.
Support for sustainable, energy-efficient, and comprehensive renovation of buildings damaged during earthquakes in Croatia.
Adoption and implementation of the Energy Poverty Reduction Program.
Increased investment in improving energy efficiency in the economy.
Investments in new, advanced technologies to achieve high energy savings.
Promotion and visibility activities for the transition to ""clean technologies"".
Fostering adaptability to climate change, preventing the risk related to disaster resilience sustainable water management
Transition to a circular economy
Biological diversity, green infrastructure in the urban environment and reducing pollution
Promoting sustainable multimodal mobility", Croatian Central Finance and Contracting Agency (CFCA),,1,"040 - Energy efficiency and demonstration projects in SMEs or large enterprises and support measures in line with energy efficiency criteria.
Total available funding: 150.000.000,00 EUR",0,0,0,0,0,0,0,0,0,0,0,0,0,,https://strukturnifondovi.hr/natjecaji/,0,0,0,0,0,0,0
HR - ERDF (PCC RSO 2.3),Go To HR - ERDF (PCC RSO 2.3),"European Regional Development Fund (ERDF),  Operational Programme Competitiveness and Cohesion 2021-2027",https://strukturnifondovi.hr/wp-content/uploads/2022/11/PKK-2021-2027.pdf,Croatia,0,All regions in Croatia,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,85% co-financing rate,NOT SPECIFIED,NoT SPECIFIED,NOT SPECIFIED,NO,0,MEDIUM,National language,,"Operational Programme Competitiveness and Cohesion 2021-2027 - RSO 2.3 
Development of smart energy systems, grids, and storage.


","Investment in RES (investment in microsolar, heat pumps, etc.) for end-users (citizens and institutions, investment in small renewable energy supply projects).
Increase in capacity for the utilization of renewable energy sources for electricity and thermal energy.
Investment in geothermal heat and electricity energy.
Development of new RES technologies and pilot projects related to waste utilization.
Activities related to diversification of supply routes and energy security.
Activities for the exchange of best practices and development of activities to reduce energy poverty.
Investment in energy storage and energy storage systems (batteries).
Investment in the development of the hydrogen economy.
Promotion of energy efficiency and the use of renewable energy sources in heating and cooling systems.", Croatian Central Finance and Contracting Agency (CFCA),,1,"053 -Smart energy systems (including smart grids and ICT systems) and related energy storage. Total available funding: 150.000.000,00 EUR",0,0,0,0,0,0,0,0,0,0,0,0,0,,https://strukturnifondovi.hr/natjecaji/,0,0,0,0,0,0,0
HR - ERDF (PCC RSO 2.4),Go To HR - ERDF (PCC RSO 2.4),"European Regional Development Fund (ERDF),  Operational Programme Competitiveness and Cohesion 2021-2027",https://strukturnifondovi.hr/wp-content/uploads/2022/11/PKK-2021-2027.pdf,Croatia,0,All regions in Croatia,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,85% co-financing rate,NOT SPECIFIED,NoT SPECIFIED,NOT SPECIFIED,NO,0,MEDIUM,National language,,"Operational Programme Competitiveness and Cohesion 2021-2027 - RSO 2.4 
Adaptation to climate change.
","energy efficiency
renewable energy sources
development of smart energy systems, networks and storage on the local level
fostering adaptability to climate change, preventing the risk related to disaster resilience
sustainable water management
transition to a circular economy
biological diversity, green infrastructure in the urban environment and reducing pollution
promoting sustainable multimodal mobility", Croatian Central Finance and Contracting Agency (CFCA),,1,"029 - Research and innovation, technology transfer, and collaboration among businesses, research centers, and universities aimed at a low-carbon economy, resilience to climate change, and adaptation to these changes. Total available funding: 4.000.000,00 EUR",0,0,0,0,0,0,0,0,0,0,0,0,0,,https://strukturnifondovi.hr/natjecaji/,0,0,0,0,0,0,0
HR - ERDF (PCC RSO 2.6),Go To HR - ERDF (PCC RSO 2.6),"European Regional Development Fund (ERDF),  Operational Programme Competitiveness and Cohesion 2021-2027",https://strukturnifondovi.hr/wp-content/uploads/2022/11/PKK-2021-2027.pdf,Croatia,0,All regions in Croatia,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,85% co-financing rate,NOT SPECIFIED,NoT SPECIFIED,NOT SPECIFIED,NO,0,MEDIUM,National language,,"Operational Programme Competitiveness and Cohesion 2021-2027 - RSO 2.6 
Promoting the transition to a circular and resource-efficient economy.


","Activities of environmental and carbon footprint calculation in the public sector.
Construction and equipping of new waste management infrastructure as a contribution to the transition to a circular economy.
Recycling facilities and operations for recycling and waste reduction.
Remediation of areas contaminated with waste", Croatian Central Finance and Contracting Agency (CFCA),,1,"046 - Support for entities providing services that contribute to a low-carbon economy and climate resilience, including measures for raising awareness. Total funding available: 319.470,00 EUR
",0,0,0,0,0,0,0,0,0,0,0,0,0,,https://strukturnifondovi.hr/natjecaji/,0,0,0,0,0,0,0
HR - ERDF (PCC RSO 2.7) ,Go To HR - ERDF (PCC RSO 2.7) ,"European Regional Development Fund (ERDF),  Operational Programme Competitiveness and Cohesion 2021-2027",https://strukturnifondovi.hr/wp-content/uploads/2022/11/PKK-2021-2027.pdf,Croatia,0,All regions in Croatia,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,85% co-financing rate,NOT SPECIFIED,NoT SPECIFIED,NOT SPECIFIED,NO,0,MEDIUM,National language,,"Operational Programme Competitiveness and Cohesion 2021-2027 - RSO 2.7 
Strengthening the protection and preservation of nature, biodiversity, and green infrastructure, including in urban areas, and reducing all forms of pollution.




","Implementation of priority restoration activities, including the restoration of green infrastructure outside urban areas. Implementation of the Green Infrastructure Development Program in urban areas.", Croatian Central Finance and Contracting Agency (CFCA),,1,"077 - Measures for air quality improvement and noise reduction. Total funding available: 13.642.199,00 EUR
",0,0,0,0,0,0,0,0,0,0,0,0,0,,https://strukturnifondovi.hr/natjecaji/,0,0,0,0,0,0,0
